,track_id,track_name,artist_names,artist_pop,artist_genres,album,track_pop,track_duration,added_at,acousticness,speechiness,key,liveness,instrumentalness,energy,tempo,time_signature,loudness,danceability,valence
22,5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),The Kid LAROI,85,['australian hip hop'],F*CK LOVE 3: OVER YOU,87,141.805,2022-05-13T12:02:30Z,0.0383,0.0483,1,0.103,0.0,0.764,169.928,4,-5.484,0.591,0.478
23,0E0DRHf5PfMeor0ZCwB3oT,Otro Atardecer,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,84,244.444,2022-05-13T12:02:30Z,0.59,0.0375,2,0.0669,0.00139,0.595,108.02,4,-6.79,0.777,0.546
24,6VrQTLzzuyGIYjUDe4kAZk,Un Coco,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,84,196.412,2022-05-13T12:02:30Z,0.207,0.0615,11,0.176,8.33e-06,0.69,151.991,4,-4.464,0.839,0.744
25,2DB4DdfCFMw1iaR6JaR03a,Bam Bam (feat. Ed Sheeran),Camila Cabello,85,"['dance pop', 'pop', 'post-teen pop']",Familia,82,206.07,2022-05-13T12:02:30Z,0.182,0.0401,8,0.333,0.0,0.697,94.996,4,-6.377,0.756,0.956
26,2NMjggapJcXXM7WccGEBUO,Enséñame a Bailar,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,84,176.0,2022-05-13T12:02:30Z,0.191,0.0846,8,0.467,1.08e-05,0.789,105.009,4,-5.08,0.81,0.77
27,0UvZcEfpzVyx47QsRbjyBz,El Apagón,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,83,201.816,2022-05-13T12:02:30Z,0.0509,0.308,8,0.0909,0.00166,0.698,117.765,4,-4.485,0.629,0.599
28,6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,Elton John,84,"['glam rock', 'mellow gold', 'piano rock']",The Lockdown Sessions,83,202.735,2022-05-13T12:02:30Z,0.0354,0.0309,1,0.0915,7.25e-05,0.8,116.032,4,-6.32,0.795,0.934
29,0wihfILRNOwE2156Shezc8,Agosto,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,83,139.041,2022-05-13T12:02:30Z,0.0929,0.115,1,0.492,6.18e-06,0.584,115.018,4,-8.195,0.849,0.724
30,58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,Elley Duhé,77,"['alt z', 'pop']",MIDDLE OF THE NIGHT,91,184.447,2022-05-13T12:02:30Z,0.0228,0.0467,4,0.116,0.0,0.611,185.727,3,-8.271,0.41,0.0899
31,1HhNoOuqm1a5MXYEgAFl8o,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,88,"['modern rock', 'rock']",Mercury - Act 1,83,173.381,2022-05-13T12:02:30Z,0.237,0.266,11,0.434,0.0,0.783,77.011,4,-4.424,0.728,0.555
32,71wFwRo8xGc4lrcyKwsvba,Callaita,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,81,250.533,2022-05-13T12:02:30Z,0.597,0.301,2,0.25,2.16e-06,0.626,176.086,4,-4.773,0.608,0.246
33,5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,85,"['lgbtq+ hip hop', 'pop']",MONTERO,85,212.352,2022-05-13T12:02:30Z,0.0221,0.0672,10,0.0476,0.0,0.691,150.087,4,-7.395,0.741,0.892
34,1ri9ZUkBJVFUdgwzCnfcYs,MAMIII,Becky G,82,"['dance pop', 'latin', 'latin viral pop', 'pop', 'rap latina', 'reggaeton']",MAMIII,91,226.088,2022-05-13T12:02:30Z,0.0934,0.0803,4,0.14,0.0,0.7,93.991,4,-3.563,0.843,0.899
35,1O2pcBJGej0pmH2Y9XZMs6,Una Noche en Medellín,Cris Mj,81,"['mambo chileno', 'urbano chileno']",Una Noche en Medellín,91,153.75,2022-05-13T12:02:30Z,0.0924,0.077,10,0.0534,4.6e-05,0.548,96.018,4,-5.253,0.87,0.832
36,0LnS7aOdOdI1dNKZqdOLz4,Dua Lipa,Jack Harlow,89,"['deep underground hip hop', 'kentucky hip hop', 'rap']",Come Home The Kids Miss You,82,135.053,2022-05-13T12:02:30Z,0.00161,0.0762,11,0.106,0.0985,0.652,158.022,4,-6.942,0.833,0.405
